,Bearing,BlockRef,CallDistanceAlongRoute,DataFrameRef,DatedVehicleJourneyRef,DestinationName,DestinationRef,DirectionRef,DistanceFromCall,ExpectedArrivalTime,ExpectedDepartureTime,JourneyPatternRef,Latitude,LineRef,Longitude,Monitored,OperatorRef,OriginAimedDepartureTime,OriginRef,PresentableDistance,ProgressRate,ProgressStatus,PublishedLineName,RecordedAtTime,StopPointName,StopPointRef,StopsFromCall,VehicleRef,VisitNumber
0,224.39914,MTA NYCT_FP_B8-Weekday_C_FP_74880_B26-27,0.0,2018-04-03,MTA NYCT_FP_B8-Weekday-126000_B26_27,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,0.0,,,MTA_B540070,40.700381,MTA NYCT_B54,-73.910171,True,MTA NYCT,2018-04-03T21:00:00.000-04:00,MTA_505218,at stop,noProgress,layover,B54,2018-04-03T21:04:38.000-04:00,PALMETTO ST/ST NICHOLAS AV,MTA_505218,0,MTA NYCT_6568,1
1,44.50179,MTA NYCT_FP_B8-Weekday_C_FP_55680_B54-221,6796.5,2018-04-03,MTA NYCT_FP_B8-Weekday-122800_B54_221,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,16.66,2018-04-03T21:04:58.014-04:00,2018-04-03T21:04:58.014-04:00,MTA_B540062,40.699989,MTA NYCT_B54,-73.911755,True,MTA NYCT,,MTA_308472,at stop,normalProgress,,B54,2018-04-03T21:04:49.000-04:00,GATES AV/WYCKOFF AV,MTA_308596,0,MTA NYCT_5205,1
2,224.55586,MTA NYCT_FP_B8-Weekday_C_FP_51900_B54-218,7025.2,2018-04-03,MTA NYCT_FP_B8-Weekday-117400_B54_223,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,16.94,2018-04-03T21:04:58.014-04:00,2018-04-03T21:04:58.014-04:00,MTA_B540062,40.700601,MTA NYCT_B54,-73.909946,True,MTA NYCT,,MTA_308472,at stop,noProgress,layover,B54,2018-04-03T21:04:24.000-04:00,PALMETTO ST/ST NICHOLAS AV,MTA_901258,0,MTA NYCT_6548,1
3,328.07913,MTA NYCT_FP_B8-Weekday_C_FP_25260_B54-211,7025.2,2018-04-03,MTA NYCT_FP_B8-Weekday-118200_B54_225,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,21.18,2018-04-03T21:04:58.014-04:00,2018-04-03T21:04:58.014-04:00,MTA_B540062,40.700627,MTA NYCT_B54,-73.909969,True,MTA NYCT,,MTA_308472,at stop,noProgress,layover,B54,2018-04-03T21:04:25.000-04:00,PALMETTO ST/ST NICHOLAS AV,MTA_901258,0,MTA NYCT_6579,1
4,6.6306734,MTA NYCT_FP_B8-Weekday_C_FP_18360_B54-206,3032.05,2018-04-03,MTA NYCT_FP_B8-Weekday-125000_B54_217,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,47.06,2018-04-03T21:04:58.014-04:00,2018-04-03T21:04:58.014-04:00,MTA_B540062,40.694596,MTA NYCT_B54,-73.955979,True,MTA NYCT,,MTA_308472,approaching,normalProgress,,B54,2018-04-03T21:04:27.000-04:00,MYRTLE AV/SPENCER ST,MTA_308442,0,MTA NYCT_6520,1
5,81.13814,MTA NYCT_FP_B8-Weekday_C_FP_73080_B54-220,6820.99,2018-04-03,MTA NYCT_FP_B8-Weekday-123000_B54_220,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,81.56,2018-04-03T21:05:17.218-04:00,2018-04-03T21:05:17.218-04:00,MTA_B540070,40.693759,MTA NYCT_B54,-73.987206,True,MTA NYCT,,MTA_505218,approaching,normalProgress,,B54,2018-04-03T21:04:49.000-04:00,JAY ST/MYRTLE PLZ,MTA_801134,0,MTA NYCT_6516,1
6,224.39914,,171.54,2018-04-03,MTA NYCT_FP_B8-Weekday-126000_B26_27,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,97.55,2018-04-03T21:04:58.014-04:00,2018-04-03T21:04:58.014-04:00,MTA_B540070,40.699855,MTA NYCT_B54,-73.910708,True,MTA NYCT,,MTA_505218,approaching,noProgress,layover,B54,2018-04-03T21:04:26.000-04:00,MYRTLE AV/GATES AV,MTA_308426,0,MTA NYCT_6541,1
7,6.275851,MTA NYCT_FP_B8-Weekday_C_FP_17820_B54-205,5046.25,2018-04-03,MTA NYCT_FP_B8-Weekday-123800_B54_222,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,157.16,2018-04-03T21:06:01.305-04:00,2018-04-03T21:06:01.305-04:00,MTA_B540062,40.697156,MTA NYCT_B54,-73.933647,True,MTA NYCT,,MTA_308472,< 1 stop away,normalProgress,,B54,2018-04-03T21:04:55.000-04:00,MYRTLE AV/BUSHWICK AV,MTA_304406,0,MTA NYCT_6578,1
8,87.369,MTA NYCT_FP_B8-Weekday_C_FP_44700_B52-115,199.18,2018-04-03,MTA NYCT_FP_B8-Weekday-126500_B54_224,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,162.13,2018-04-03T21:05:06.050-04:00,2018-04-03T21:05:06.050-04:00,MTA_B540062,40.694837,MTA NYCT_B54,-73.987168,True,MTA NYCT,,MTA_308472,< 1 stop away,normalProgress,,B54,2018-04-03T21:04:48.000-04:00,TILLARY ST/JAY ST,MTA_307493,0,MTA NYCT_6563,1
9,186.46767,MTA NYCT_FP_B8-Weekday_C_FP_20760_B54-207,3646.53,2018-04-03,MTA NYCT_FP_B8-Weekday-124500_B54_218,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,243.74,2018-04-03T21:05:44.532-04:00,2018-04-03T21:05:44.532-04:00,MTA_B540070,40.69533,MTA NYCT_B54,-73.94961,True,MTA NYCT,,MTA_505218,< 1 stop away,normalProgress,,B54,2018-04-03T21:04:40.000-04:00,MYRTLE AV/NOSTRAND AV,MTA_304434,0,MTA NYCT_7286,1
0,224.39914,MTA NYCT_FP_B8-Weekday_C_FP_74880_B26-27,0.0,2018-04-03,MTA NYCT_FP_B8-Weekday-126000_B26_27,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,0.0,,,MTA_B540070,40.700381,MTA NYCT_B54,-73.910171,True,MTA NYCT,2018-04-03T21:00:00.000-04:00,MTA_505218,at stop,noProgress,layover,B54,2018-04-03T21:05:10.000-04:00,PALMETTO ST/ST NICHOLAS AV,MTA_505218,0,MTA NYCT_6568,1
1,224.55586,MTA NYCT_FP_B8-Weekday_C_FP_51900_B54-218,7025.2,2018-04-03,MTA NYCT_FP_B8-Weekday-117400_B54_223,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,16.94,2018-04-03T21:05:28.312-04:00,2018-04-03T21:05:28.312-04:00,MTA_B540062,40.700601,MTA NYCT_B54,-73.909946,True,MTA NYCT,,MTA_308472,at stop,noProgress,layover,B54,2018-04-03T21:04:57.000-04:00,PALMETTO ST/ST NICHOLAS AV,MTA_901258,0,MTA NYCT_6548,1
2,328.07913,MTA NYCT_FP_B8-Weekday_C_FP_25260_B54-211,7025.2,2018-04-03,MTA NYCT_FP_B8-Weekday-118200_B54_225,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,21.18,2018-04-03T21:05:28.312-04:00,2018-04-03T21:05:28.312-04:00,MTA_B540062,40.700627,MTA NYCT_B54,-73.909969,True,MTA NYCT,,MTA_308472,at stop,noProgress,layover,B54,2018-04-03T21:04:56.000-04:00,PALMETTO ST/ST NICHOLAS AV,MTA_901258,0,MTA NYCT_6579,1
3,329.52338,MTA NYCT_FP_B8-Weekday_C_FP_55680_B54-221,7025.2,2018-04-03,MTA NYCT_FP_B8-Weekday-122800_B54_221,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,33.88,2018-04-03T21:05:30.063-04:00,2018-04-03T21:05:30.063-04:00,MTA_B540062,40.700697,MTA NYCT_B54,-73.910087,True,MTA NYCT,,MTA_308472,approaching,normalProgress,,B54,2018-04-03T21:05:21.000-04:00,PALMETTO ST/ST NICHOLAS AV,MTA_901258,0,MTA NYCT_5205,1
4,87.28634,MTA NYCT_FP_B8-Weekday_C_FP_44700_B52-115,199.18,2018-04-03,MTA NYCT_FP_B8-Weekday-126500_B54_224,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,56.89,2018-04-03T21:05:28.312-04:00,2018-04-03T21:05:28.312-04:00,MTA_B540062,40.695783,MTA NYCT_B54,-73.987123,True,MTA NYCT,,MTA_308472,approaching,normalProgress,,B54,2018-04-03T21:05:20.000-04:00,TILLARY ST/JAY ST,MTA_307493,0,MTA NYCT_6563,1
5,87.15338,MTA NYCT_FP_B8-Weekday_C_FP_73080_B54-220,6820.99,2018-04-03,MTA NYCT_FP_B8-Weekday-123000_B54_220,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,71.37,2018-04-03T21:05:45.309-04:00,2018-04-03T21:05:45.309-04:00,MTA_B540070,40.69385,MTA NYCT_B54,-73.987199,True,MTA NYCT,,MTA_505218,approaching,normalProgress,,B54,2018-04-03T21:05:21.000-04:00,JAY ST/MYRTLE PLZ,MTA_801134,0,MTA NYCT_6516,1
6,224.39914,,171.54,2018-04-03,MTA NYCT_FP_B8-Weekday-126000_B26_27,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,97.55,2018-04-03T21:05:28.312-04:00,2018-04-03T21:05:28.312-04:00,MTA_B540070,40.699855,MTA NYCT_B54,-73.910708,True,MTA NYCT,,MTA_505218,approaching,noProgress,layover,B54,2018-04-03T21:04:57.000-04:00,MYRTLE AV/GATES AV,MTA_308426,0,MTA NYCT_6541,1
7,6.5379577,MTA NYCT_FP_B8-Weekday_C_FP_18360_B54-206,3278.61,2018-04-03,MTA NYCT_FP_B8-Weekday-125000_B54_217,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,98.88,2018-04-03T21:05:28.767-04:00,2018-04-03T21:05:28.767-04:00,MTA_B540062,40.69486,MTA NYCT_B54,-73.953695,True,MTA NYCT,,MTA_308472,approaching,normalProgress,,B54,2018-04-03T21:04:58.000-04:00,MYRTLE AV/NOSTRAND AV,MTA_304399,0,MTA NYCT_6520,1
