,Latitude,Longitude,StopName,StopStatus,VehDistAlongRoute,VehicleRef
1,40.698779,-73.918621,MYRTLE AV/KNICKERBOCKER AV,at stop,6168.7,3972
2,40.699783,-73.911956,GATES AV/WYCKOFF AV,approaching,6751.38,4043
3,40.695995,-73.943826,MYRTLE AV/THROOP AV,approaching,4021.29,6585
0,40.696053,-73.943315,MYRTLE AV/THROOP AV,at stop,4064.86,6585
1,40.69336,-73.975867,MYRTLE AV/N PORTLAND AV,approaching,1295.01,4060
2,40.699783,-73.911956,GATES AV/WYCKOFF AV,approaching,6751.38,4043
3,40.698973,-73.916737,MYRTLE AV/MENAHAN ST,approaching,6328.98,3972
0,40.699783,-73.911956,GATES AV/WYCKOFF AV,approaching,6751.38,4043
1,40.696252,-73.94159,MYRTLE AV/MARCUS GARVEY BL,approaching,4211.97,6585
2,40.695122,-73.987154,TILLARY ST/JAY ST,approaching,68.73000000000002,6557
3,40.693336,-73.975216,MYRTLE AV/CARLTON AV,< 1 stop away,1349.92,4060
4,40.699123,-73.915308,GATES AV/WYCKOFF AV,< 1 stop away,6450.61,3972
0,40.696329,-73.940919,MYRTLE AV/MARCUS GARVEY BL,at stop,4269.18,6585
1,40.700054,-73.911689,GATES AV/WYCKOFF AV,at stop,6788.98,4043
2,40.693281,-73.973703,MYRTLE AV/CARLTON AV,approaching,1477.68,4060
3,40.695183,-73.987151,TILLARY ST/JAY ST,approaching,75.59,6557
4,40.69917,-73.914866,GATES AV/WYCKOFF AV,< 1 stop away,6488.2,3972
0,40.693233,-73.972476,MYRTLE AV/CARLTON AV,at stop,1581.27,4060
1,40.699434,-73.912801,GATES AV/WYCKOFF AV,approaching,6664.91,3972
2,40.696509,-73.939351,MYRTLE AV/LEWIS AV,< 1 stop away,4402.86,6585
3,40.700135,-73.911607,PALMETTO ST/ST NICHOLAS AV,< 1 stop away,6800.3099999999995,4043
4,40.696024,-73.986731,MYRTLE AV/FLEET PL,< 1 stop away,202.6400000000001,6557
0,40.696718,-73.937527,MYRTLE AV/LEWIS AV,at stop,4558.38,6585
1,40.699756,-73.911982,GATES AV/WYCKOFF AV,approaching,6747.62,3972
