,Bearing,BlockRef,CallDistanceAlongRoute,DataFrameRef,DatedVehicleJourneyRef,DestinationName,DestinationRef,DirectionRef,DistanceFromCall,ExpectedArrivalTime,ExpectedDepartureTime,JourneyPatternRef,Latitude,LineRef,Longitude,Monitored,OperatorRef,OriginAimedDepartureTime,OriginRef,PresentableDistance,ProgressRate,ProgressStatus,PublishedLineName,RecordedAtTime,SituationSimpleRef,StopPointName,StopPointRef,StopsFromCall,VehicleRef,VisitNumber
10,185.94958,MTA NYCT_FP_B8-Weekday_C_FP_16680_B54-204,1312.05,2018-04-03,MTA NYCT_FP_B8-Weekday-105000_B54_216,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,147.83,2018-04-03T17:38:54.056-04:00,2018-04-03T17:38:54.056-04:00,MTA_B540070,40.698287,MTA NYCT_B54,-73.923345,True,MTA NYCT,,MTA_505218,approaching,normalProgress,,B54,2018-04-03T17:38:14.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/DE KALB AV,MTA_304423,0,MTA NYCT_6503,1
11,6.6119037,MTA NYCT_FP_B8-Weekday_C_FP_22920_B54-208,4748.92,2018-04-03,MTA NYCT_FP_B8-Weekday-102200_B54_212,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,172.98,2018-04-03T17:40:02.384-04:00,2018-04-03T17:40:02.384-04:00,MTA_B540062,40.696742,MTA NYCT_B54,-73.937321,True,MTA NYCT,,MTA_308472,< 1 stop away,normalProgress,,B54,2018-04-03T17:38:07.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/BROADWAY,MTA_304405,0,MTA NYCT_4520,1
12,357.75427,MTA NYCT_FP_B8-Weekday_C_FP_58440_B54-214,1584.72,2018-04-03,MTA NYCT_FP_B8-Weekday-104600_B54_214,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,174.81,2018-04-03T17:39:22.562-04:00,2018-04-03T17:39:22.562-04:00,MTA_B540062,40.693309,MTA NYCT_B54,-73.974506,True,MTA NYCT,,MTA_308472,< 1 stop away,normalProgress,,B54,2018-04-03T17:38:19.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/CARLTON AV,MTA_306929,0,MTA NYCT_3974,1
13,296.5073,MTA NYCT_FP_B8-Weekday_C_FP_44700_B52-115,820.07,2018-04-03,MTA NYCT_FP_B8-Weekday-105400_B54_224,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,198.97,2018-04-03T17:39:46.560-04:00,2018-04-03T17:39:46.560-04:00,MTA_B540062,40.693957,MTA NYCT_B54,-73.983574,True,MTA NYCT,,MTA_308472,< 1 stop away,normalProgress,,B54,2018-04-03T17:38:11.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/FLEET PL,MTA_308638,0,MTA NYCT_6563,1
14,186.53609,MTA NYCT_FP_B8-Weekday_C_FP_26040_B26-16,4422.13,2018-04-03,MTA NYCT_FP_B8-Weekday-102600_B54_213,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,266.34,2018-04-03T17:39:46.468-04:00,2018-04-03T17:39:46.468-04:00,MTA_B540070,40.694312,MTA NYCT_B54,-73.95844,True,MTA NYCT,,MTA_505218,< 1 stop away,normalProgress,,B54,2018-04-03T17:38:07.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/CLASSON AV,MTA_308624,0,MTA NYCT_7261,1
0,185.74904,MTA NYCT_FP_B8-Weekday_C_FP_16680_B54-204,1312.05,2018-04-03,MTA NYCT_FP_B8-Weekday-105000_B54_216,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,0.0,2018-04-03T17:39:07.663-04:00,2018-04-03T17:39:07.663-04:00,MTA_B540070,40.69811,MTA NYCT_B54,-73.925083,True,MTA NYCT,,MTA_505218,at stop,normalProgress,,B54,2018-04-03T17:38:46.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/DE KALB AV,MTA_304423,0,MTA NYCT_6503,1
1,186.17589,MTA NYCT_FP_B8-Weekday_C_FP_54780_B54-219,1721.07,2018-04-03,MTA NYCT_FP_B8-Weekday-104200_B54_219,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,14.79,2018-04-03T17:39:07.663-04:00,2018-04-03T17:39:07.663-04:00,MTA_B540070,40.697595,MTA NYCT_B54,-73.929709,True,MTA NYCT,,MTA_505218,at stop,normalProgress,,B54,2018-04-03T17:39:00.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/SUYDAM ST,MTA_307151,0,MTA NYCT_6541,1
2,46.091908,MTA NYCT_FP_B8-Weekday_C_FP_48300_B26-23,6796.5,2018-04-03,MTA NYCT_FP_B8-Weekday-100600_B54_220,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,37.48,2018-04-03T17:39:07.663-04:00,2018-04-03T17:39:07.663-04:00,MTA_B540062,40.699839,MTA NYCT_B54,-73.911902,True,MTA NYCT,,MTA_308472,approaching,normalProgress,,B54,2018-04-03T17:38:49.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,GATES AV/WYCKOFF AV,MTA_308596,0,MTA NYCT_6516,1
3,6.564484,MTA NYCT_FP_B8-Weekday_C_FP_24780_B54-203,2584.46,2018-04-03,MTA NYCT_FP_B8-Weekday-103800_B54_210,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,56.03,2018-04-03T17:39:07.663-04:00,2018-04-03T17:39:07.663-04:00,MTA_B540062,40.693983,MTA NYCT_B54,-73.961333,True,MTA NYCT,,MTA_308472,approaching,normalProgress,,B54,2018-04-03T17:38:37.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/CLASSON AV,MTA_304394,0,MTA NYCT_7283,1
4,329.52338,MTA NYCT_FP_B8-Weekday_C_FP_55680_B54-221,7025.2,2018-04-03,MTA NYCT_FP_B8-Weekday-099800_B54_221,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,60.35,2018-04-03T17:39:25.338-04:00,2018-04-03T17:39:25.338-04:00,MTA_B540062,40.700843,MTA NYCT_B54,-73.910335,True,MTA NYCT,,MTA_308472,approaching,normalProgress,,B54,2018-04-03T17:38:58.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,PALMETTO ST/ST NICHOLAS AV,MTA_901258,0,MTA NYCT_5205,1
